"Notes"	"States"	"States Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Colorado"	"08"	"5-9 years"	"5-9"	"2020"	"2020"	344851
	"Colorado"	"08"	"10-14 years"	"10-14"	"2016"	"2016"	361164
	"Colorado"	"08"	"10-14 years"	"10-14"	"2017"	"2017"	364583
	"Colorado"	"08"	"10-14 years"	"10-14"	"2018"	"2018"	365697
	"Colorado"	"08"	"10-14 years"	"10-14"	"2019"	"2019"	363379
	"Colorado"	"08"	"10-14 years"	"10-14"	"2020"	"2020"	361425
	"Colorado"	"08"	"15-19 years"	"15-19"	"2016"	"2016"	353484
	"Colorado"	"08"	"15-19 years"	"15-19"	"2017"	"2017"	357008
	"Colorado"	"08"	"15-19 years"	"15-19"	"2018"	"2018"	361983
	"Colorado"	"08"	"15-19 years"	"15-19"	"2019"	"2019"	365699
	"Colorado"	"08"	"15-19 years"	"15-19"	"2020"	"2020"	366386
	"Colorado"	"08"	"20-24 years"	"20-24"	"2016"	"2016"	381121
	"Colorado"	"08"	"20-24 years"	"20-24"	"2017"	"2017"	378723
	"Colorado"	"08"	"20-24 years"	"20-24"	"2018"	"2018"	378056
	"Colorado"	"08"	"20-24 years"	"20-24"	"2019"	"2019"	378813
	"Colorado"	"08"	"20-24 years"	"20-24"	"2020"	"2020"	380269
	"Colorado"	"08"	"25-29 years"	"25-29"	"2016"	"2016"	429534
	"Colorado"	"08"	"25-29 years"	"25-29"	"2017"	"2017"	442914
	"Colorado"	"08"	"25-29 years"	"25-29"	"2018"	"2018"	455211
	"Colorado"	"08"	"25-29 years"	"25-29"	"2019"	"2019"	461470
	"Colorado"	"08"	"25-29 years"	"25-29"	"2020"	"2020"	461679
	"Colorado"	"08"	"30-34 years"	"30-34"	"2016"	"2016"	423889
	"Colorado"	"08"	"30-34 years"	"30-34"	"2017"	"2017"	432973
	"Colorado"	"08"	"30-34 years"	"30-34"	"2018"	"2018"	442322
	"Colorado"	"08"	"30-34 years"	"30-34"	"2019"	"2019"	452026
	"Colorado"	"08"	"30-34 years"	"30-34"	"2020"	"2020"	462331
	"Colorado"	"08"	"35-39 years"	"35-39"	"2016"	"2016"	390425
	"Colorado"	"08"	"35-39 years"	"35-39"	"2017"	"2017"	403102
	"Colorado"	"08"	"35-39 years"	"35-39"	"2018"	"2018"	416498
	"Colorado"	"08"	"35-39 years"	"35-39"	"2019"	"2019"	426156
	"Colorado"	"08"	"35-39 years"	"35-39"	"2020"	"2020"	433137
	"Colorado"	"08"	"40-44 years"	"40-44"	"2016"	"2016"	356694
	"Colorado"	"08"	"40-44 years"	"40-44"	"2017"	"2017"	358315
	"Colorado"	"08"	"40-44 years"	"40-44"	"2018"	"2018"	365318
	"Colorado"	"08"	"40-44 years"	"40-44"	"2019"	"2019"	372814
	"Colorado"	"08"	"40-44 years"	"40-44"	"2020"	"2020"	382981
	"Colorado"	"08"	"45-49 years"	"45-49"	"2016"	"2016"	360209
	"Colorado"	"08"	"45-49 years"	"45-49"	"2017"	"2017"	365978
	"Colorado"	"08"	"45-49 years"	"45-49"	"2018"	"2018"	367381
	"Colorado"	"08"	"45-49 years"	"45-49"	"2019"	"2019"	364951
	"Colorado"	"08"	"45-49 years"	"45-49"	"2020"	"2020"	360321
	"Colorado"	"08"	"50-54 years"	"50-54"	"2016"	"2016"	357266
	"Colorado"	"08"	"50-54 years"	"50-54"	"2017"	"2017"	348355
	"Colorado"	"08"	"50-54 years"	"50-54"	"2018"	"2018"	342323
	"Colorado"	"08"	"50-54 years"	"50-54"	"2019"	"2019"	340733
	"Colorado"	"08"	"50-54 years"	"50-54"	"2020"	"2020"	344624
	"Colorado"	"08"	"55-59 years"	"55-59"	"2016"	"2016"	369484
	"Colorado"	"08"	"55-59 years"	"55-59"	"2017"	"2017"	368802
	"Colorado"	"08"	"55-59 years"	"55-59"	"2018"	"2018"	367494
	"Colorado"	"08"	"55-59 years"	"55-59"	"2019"	"2019"	364757
	"Colorado"	"08"	"55-59 years"	"55-59"	"2020"	"2020"	357179
	"Colorado"	"08"	"60-64 years "	"60-64"	"2016"	"2016"	329691
	"Colorado"	"08"	"60-64 years "	"60-64"	"2017"	"2017"	337612
	"Colorado"	"08"	"60-64 years "	"60-64"	"2018"	"2018"	343576
	"Colorado"	"08"	"60-64 years "	"60-64"	"2019"	"2019"	347958
	"Colorado"	"08"	"60-64 years "	"60-64"	"2020"	"2020"	351566
	"Colorado"	"08"	"65-69 years"	"65-69"	"2016"	"2016"	277221
	"Colorado"	"08"	"65-69 years"	"65-69"	"2017"	"2017"	280099
	"Colorado"	"08"	"65-69 years"	"65-69"	"2018"	"2018"	288064
	"Colorado"	"08"	"65-69 years"	"65-69"	"2019"	"2019"	296415
	"Colorado"	"08"	"65-69 years"	"65-69"	"2020"	"2020"	303686
	"Colorado"	"08"	"70-74 years"	"70-74"	"2016"	"2016"	178999
	"Colorado"	"08"	"70-74 years"	"70-74"	"2017"	"2017"	199366
	"Colorado"	"08"	"70-74 years"	"70-74"	"2018"	"2018"	212570
	"Colorado"	"08"	"70-74 years"	"70-74"	"2019"	"2019"	226127
	"Colorado"	"08"	"70-74 years"	"70-74"	"2020"	"2020"	239677
	"Colorado"	"08"	"75-79 years"	"75-79"	"2016"	"2016"	118428
	"Colorado"	"08"	"75-79 years"	"75-79"	"2017"	"2017"	124847
	"Colorado"	"08"	"75-79 years"	"75-79"	"2018"	"2018"	134177
	"Colorado"	"08"	"75-79 years"	"75-79"	"2019"	"2019"	142262
	"Colorado"	"08"	"75-79 years"	"75-79"	"2020"	"2020"	149796
	"Colorado"	"08"	"80-84 years"	"80-84"	"2016"	"2016"	80130
	"Colorado"	"08"	"80-84 years"	"80-84"	"2017"	"2017"	81924
	"Colorado"	"08"	"80-84 years"	"80-84"	"2018"	"2018"	85075
	"Colorado"	"08"	"80-84 years"	"80-84"	"2019"	"2019"	88719
	"Colorado"	"08"	"80-84 years"	"80-84"	"2020"	"2020"	91938
	"Colorado"	"08"	"85+ years"	"85+"	"2016"	"2016"	84989
	"Colorado"	"08"	"85+ years"	"85+"	"2017"	"2017"	86748
	"Colorado"	"08"	"85+ years"	"85+"	"2018"	"2018"	88400
	"Colorado"	"08"	"85+ years"	"85+"	"2019"	"2019"	90002
	"Colorado"	"08"	"85+ years"	"85+"	"2020"	"2020"	91290
	"Connecticut"	"09"	"< 1 year"	"1"	"2016"	"2016"	35882
	"Connecticut"	"09"	"< 1 year"	"1"	"2017"	"2017"	35554
	"Connecticut"	"09"	"< 1 year"	"1"	"2018"	"2018"	35094
	"Connecticut"	"09"	"< 1 year"	"1"	"2019"	"2019"	34656
	"Connecticut"	"09"	"< 1 year"	"1"	"2020"	"2020"	34232
	"Connecticut"	"09"	"1-4 years"	"1-4"	"2016"	"2016"	148846
	"Connecticut"	"09"	"1-4 years"	"1-4"	"2017"	"2017"	148340
	"Connecticut"	"09"	"1-4 years"	"1-4"	"2018"	"2018"	148138
	"Connecticut"	"09"	"1-4 years"	"1-4"	"2019"	"2019"	147129
	"Connecticut"	"09"	"1-4 years"	"1-4"	"2020"	"2020"	145359
	"Connecticut"	"09"	"5-9 years"	"5-9"	"2016"	"2016"	202252
	"Connecticut"	"09"	"5-9 years"	"5-9"	"2017"	"2017"	199284
	"Connecticut"	"09"	"5-9 years"	"5-9"	"2018"	"2018"	196503
	"Connecticut"	"09"	"5-9 years"	"5-9"	"2019"	"2019"	194906
	"Connecticut"	"09"	"5-9 years"	"5-9"	"2020"	"2020"	193731
	"Connecticut"	"09"	"10-14 years"	"10-14"	"2016"	"2016"	222079
	"Connecticut"	"09"	"10-14 years"	"10-14"	"2017"	"2017"	220092
	"Connecticut"	"09"	"10-14 years"	"10-14"	"2018"	"2018"	218331
	"Connecticut"	"09"	"10-14 years"	"10-14"	"2019"	"2019"	214292
	"Connecticut"	"09"	"10-14 years"	"10-14"	"2020"	"2020"	210332
	"Connecticut"	"09"	"15-19 years"	"15-19"	"2016"	"2016"	247404
	"Connecticut"	"09"	"15-19 years"	"15-19"	"2017"	"2017"	244098
	"Connecticut"	"09"	"15-19 years"	"15-19"	"2018"	"2018"	241369
	"Connecticut"	"09"	"15-19 years"	"15-19"	"2019"	"2019"	238247
	"Connecticut"	"09"	"15-19 years"	"15-19"	"2020"	"2020"	234796
	"Connecticut"	"09"	"20-24 years"	"20-24"	"2016"	"2016"	247102
	"Connecticut"	"09"	"20-24 years"	"20-24"	"2017"	"2017"	246242
	"Connecticut"	"09"	"20-24 years"	"20-24"	"2018"	"2018"	243016
	"Connecticut"	"09"	"20-24 years"	"20-24"	"2019"	"2019"	240213
	"Connecticut"	"09"	"20-24 years"	"20-24"	"2020"	"2020"	238322
	"Connecticut"	"09"	"25-29 years"	"25-29"	"2016"	"2016"	218715
	"Connecticut"	"09"	"25-29 years"	"25-29"	"2017"	"2017"	220515
	"Connecticut"	"09"	"25-29 years"	"25-29"	"2018"	"2018"	223665
	"Connecticut"	"09"	"25-29 years"	"25-29"	"2019"	"2019"	225531
	"Connecticut"	"09"	"25-29 years"	"25-29"	"2020"	"2020"	225727
	"Connecticut"	"09"	"30-34 years"	"30-34"	"2016"	"2016"	220064
	"Connecticut"	"09"	"30-34 years"	"30-34"	"2017"	"2017"	220692
	"Connecticut"	"09"	"30-34 years"	"30-34"	"2018"	"2018"	222772
	"Connecticut"	"09"	"30-34 years"	"30-34"	"2019"	"2019"	222543
	"Connecticut"	"09"	"30-34 years"	"30-34"	"2020"	"2020"	222900
	"Connecticut"	"09"	"35-39 years"	"35-39"	"2016"	"2016"	212591
	"Connecticut"	"09"	"35-39 years"	"35-39"	"2017"	"2017"	215308
	"Connecticut"	"09"	"35-39 years"	"35-39"	"2018"	"2018"	218279
	"Connecticut"	"09"	"35-39 years"	"35-39"	"2019"	"2019"	220194
	"Connecticut"	"09"	"35-39 years"	"35-39"	"2020"	"2020"	221485
	"Connecticut"	"09"	"40-44 years"	"40-44"	"2016"	"2016"	210179
	"Connecticut"	"09"	"40-44 years"	"40-44"	"2017"	"2017"	206216
	"Connecticut"	"09"	"40-44 years"	"40-44"	"2018"	"2018"	205583
	"Connecticut"	"09"	"40-44 years"	"40-44"	"2019"	"2019"	207218
	"Connecticut"	"09"	"40-44 years"	"40-44"	"2020"	"2020"	210397
	"Connecticut"	"09"	"45-49 years"	"45-49"	"2016"	"2016"	249376
	"Connecticut"	"09"	"45-49 years"	"45-49"	"2017"	"2017"	242846
	"Connecticut"	"09"	"45-49 years"	"45-49"	"2018"	"2018"	234914
	"Connecticut"	"09"	"45-49 years"	"45-49"	"2019"	"2019"	225304
	"Connecticut"	"09"	"45-49 years"	"45-49"	"2020"	"2020"	215492
	"Connecticut"	"09"	"50-54 years"	"50-54"	"2016"	"2016"	274307
	"Connecticut"	"09"	"50-54 years"	"50-54"	"2017"	"2017"	267330
	"Connecticut"	"09"	"50-54 years"	"50-54"	"2018"	"2018"	259840
	"Connecticut"	"09"	"50-54 years"	"50-54"	"2019"	"2019"	251215
	"Connecticut"	"09"	"50-54 years"	"50-54"	"2020"	"2020"	245442
	"Connecticut"	"09"	"55-59 years"	"55-59"	"2016"	"2016"	272812
	"Connecticut"	"09"	"55-59 years"	"55-59"	"2017"	"2017"	271286
	"Connecticut"	"09"	"55-59 years"	"55-59"	"2018"	"2018"	269570
	"Connecticut"	"09"	"55-59 years"	"55-59"	"2019"	"2019"	268224
	"Connecticut"	"09"	"55-59 years"	"55-59"	"2020"	"2020"	264570
	"Connecticut"	"09"	"60-64 years "	"60-64"	"2016"	"2016"	231143
	"Connecticut"	"09"	"60-64 years "	"60-64"	"2017"	"2017"	237522
	"Connecticut"	"09"	"60-64 years "	"60-64"	"2018"	"2018"	242478
	"Connecticut"	"09"	"60-64 years "	"60-64"	"2019"	"2019"	245645
	"Connecticut"	"09"	"60-64 years "	"60-64"	"2020"	"2020"	248225
	"Connecticut"	"09"	"65-69 years"	"65-69"	"2016"	"2016"	189862
	"Connecticut"	"09"	"65-69 years"	"65-69"	"2017"	"2017"	187595
	"Connecticut"	"09"	"65-69 years"	"65-69"	"2018"	"2018"	190498
	"Connecticut"	"09"	"65-69 years"	"65-69"	"2019"	"2019"	195251
	"Connecticut"	"09"	"65-69 years"	"65-69"	"2020"	"2020"	200667
	"Connecticut"	"09"	"70-74 years"	"70-74"	"2016"	"2016"	138828
	"Connecticut"	"09"	"70-74 years"	"70-74"	"2017"	"2017"	149660
	"Connecticut"	"09"	"70-74 years"	"70-74"	"2018"	"2018"	153418
	"Connecticut"	"09"	"70-74 years"	"70-74"	"2019"	"2019"	158075
	"Connecticut"	"09"	"70-74 years"	"70-74"	"2020"	"2020"	163097
	"Connecticut"	"09"	"75-79 years"	"75-79"	"2016"	"2016"	95206
	"Connecticut"	"09"	"75-79 years"	"75-79"	"2017"	"2017"	99924
	"Connecticut"	"09"	"75-79 years"	"75-79"	"2018"	"2018"	107581
	"Connecticut"	"09"	"75-79 years"	"75-79"	"2019"	"2019"	112488
	"Connecticut"	"09"	"75-79 years"	"75-79"	"2020"	"2020"	116400
	"Connecticut"	"09"	"80-84 years"	"80-84"	"2016"	"2016"	71237
	"Connecticut"	"09"	"80-84 years"	"80-84"	"2017"	"2017"	71107
	"Connecticut"	"09"	"80-84 years"	"80-84"	"2018"	"2018"	72308
	"Connecticut"	"09"	"80-84 years"	"80-84"	"2019"	"2019"	73946
	"Connecticut"	"09"	"80-84 years"	"80-84"	"2020"	"2020"	75258
	"Connecticut"	"09"	"85+ years"	"85+"	"2016"	"2016"	91945
	"Connecticut"	"09"	"85+ years"	"85+"	"2017"	"2017"	91713
	"Connecticut"	"09"	"85+ years"	"85+"	"2018"	"2018"	91204
	"Connecticut"	"09"	"85+ years"	"85+"	"2019"	"2019"	90945
	"Connecticut"	"09"	"85+ years"	"85+"	"2020"	"2020"	90574
	"Georgia"	"13"	"< 1 year"	"1"	"2016"	"2016"	130793
	"Georgia"	"13"	"< 1 year"	"1"	"2017"	"2017"	128346
	"Georgia"	"13"	"< 1 year"	"1"	"2018"	"2018"	127445
	"Georgia"	"13"	"< 1 year"	"1"	"2019"	"2019"	125209
	"Georgia"	"13"	"< 1 year"	"1"	"2020"	"2020"	124993
	"Georgia"	"13"	"1-4 years"	"1-4"	"2016"	"2016"	529815
	"Georgia"	"13"	"1-4 years"	"1-4"	"2017"	"2017"	530448
	"Georgia"	"13"	"1-4 years"	"1-4"	"2018"	"2018"	531056
	"Georgia"	"13"	"1-4 years"	"1-4"	"2019"	"2019"	529547
	"Georgia"	"13"	"1-4 years"	"1-4"	"2020"	"2020"	522551
	"Georgia"	"13"	"5-9 years"	"5-9"	"2016"	"2016"	699362
	"Georgia"	"13"	"5-9 years"	"5-9"	"2017"	"2017"	694429
	"Georgia"	"13"	"5-9 years"	"5-9"	"2018"	"2018"	687018
	"Georgia"	"13"	"5-9 years"	"5-9"	"2019"	"2019"	686900
	"Georgia"	"13"	"5-9 years"	"5-9"	"2020"	"2020"	687297
	"Georgia"	"13"	"10-14 years"	"10-14"	"2016"	"2016"	715063
	"Georgia"	"13"	"10-14 years"	"10-14"	"2017"	"2017"	722119
	"Georgia"	"13"	"10-14 years"	"10-14"	"2018"	"2018"	728854
	"Georgia"	"13"	"10-14 years"	"10-14"	"2019"	"2019"	728600
	"Georgia"	"13"	"10-14 years"	"10-14"	"2020"	"2020"	726884
	"Georgia"	"13"	"15-19 years"	"15-19"	"2016"	"2016"	716914
	"Georgia"	"13"	"15-19 years"	"15-19"	"2017"	"2017"	723042
	"Georgia"	"13"	"15-19 years"	"15-19"	"2018"	"2018"	727383
	"Georgia"	"13"	"15-19 years"	"15-19"	"2019"	"2019"	733527
	"Georgia"	"13"	"15-19 years"	"15-19"	"2020"	"2020"	731958
	"Georgia"	"13"	"20-24 years"	"20-24"	"2016"	"2016"	723545
	"Georgia"	"13"	"20-24 years"	"20-24"	"2017"	"2017"	717998
	"Georgia"	"13"	"20-24 years"	"20-24"	"2018"	"2018"	715244
	"Georgia"	"13"	"20-24 years"	"20-24"	"2019"	"2019"	719377
	"Georgia"	"13"	"20-24 years"	"20-24"	"2020"	"2020"	726152
	"Georgia"	"13"	"25-29 years"	"25-29"	"2016"	"2016"	734973
	"Georgia"	"13"	"25-29 years"	"25-29"	"2017"	"2017"	754281
	"Georgia"	"13"	"25-29 years"	"25-29"	"2018"	"2018"	766833
	"Georgia"	"13"	"25-29 years"	"25-29"	"2019"	"2019"	772167
	"Georgia"	"13"	"25-29 years"	"25-29"	"2020"	"2020"	765892
	"Georgia"	"13"	"30-34 years"	"30-34"	"2016"	"2016"	691836
	"Georgia"	"13"	"30-34 years"	"30-34"	"2017"	"2017"	697301
	"Georgia"	"13"	"30-34 years"	"30-34"	"2018"	"2018"	705681
	"Georgia"	"13"	"30-34 years"	"30-34"	"2019"	"2019"	723332
	"Georgia"	"13"	"30-34 years"	"30-34"	"2020"	"2020"	740467
	"Georgia"	"13"	"35-39 years"	"35-39"	"2016"	"2016"	685767
	"Georgia"	"13"	"35-39 years"	"35-39"	"2017"	"2017"	696164
	"Georgia"	"13"	"35-39 years"	"35-39"	"2018"	"2018"	705252
	"Georgia"	"13"	"35-39 years"	"35-39"	"2019"	"2019"	710065
	"Georgia"	"13"	"35-39 years"	"35-39"	"2020"	"2020"	710868
	"Georgia"	"13"	"40-44 years"	"40-44"	"2016"	"2016"	675858
	"Georgia"	"13"	"40-44 years"	"40-44"	"2017"	"2017"	668229
	"Georgia"	"13"	"40-44 years"	"40-44"	"2018"	"2018"	666743
	"Georgia"	"13"	"40-44 years"	"40-44"	"2019"	"2019"	672349
	"Georgia"	"13"	"40-44 years"	"40-44"	"2020"	"2020"	683979
	"Georgia"	"13"	"45-49 years"	"45-49"	"2016"	"2016"	708557
	"Georgia"	"13"	"45-49 years"	"45-49"	"2017"	"2017"	715877
	"Georgia"	"13"	"45-49 years"	"45-49"	"2018"	"2018"	718175
	"Georgia"	"13"	"45-49 years"	"45-49"	"2019"	"2019"	712718
	"Georgia"	"13"	"45-49 years"	"45-49"	"2020"	"2020"	698848
	"Georgia"	"13"	"50-54 years"	"50-54"	"2016"	"2016"	706070
	"Georgia"	"13"	"50-54 years"	"50-54"	"2017"	"2017"	700527
	"Georgia"	"13"	"50-54 years"	"50-54"	"2018"	"2018"	693245
	"Georgia"	"13"	"50-54 years"	"50-54"	"2019"	"2019"	687313
	"Georgia"	"13"	"50-54 years"	"50-54"	"2020"	"2020"	692250
	"Georgia"	"13"	"55-59 years"	"55-59"	"2016"	"2016"	664854
	"Georgia"	"13"	"55-59 years"	"55-59"	"2017"	"2017"	672816
	"Georgia"	"13"	"55-59 years"	"55-59"	"2018"	"2018"	682293
	"Georgia"	"13"	"55-59 years"	"55-59"	"2019"	"2019"	691544
	"Georgia"	"13"	"55-59 years"	"55-59"	"2020"	"2020"	694684
	"Georgia"	"13"	"60-64 years "	"60-64"	"2016"	"2016"	570616
	"Georgia"	"13"	"60-64 years "	"60-64"	"2017"	"2017"	588910
	"Georgia"	"13"	"60-64 years "	"60-64"	"2018"	"2018"	603076
	"Georgia"	"13"	"60-64 years "	"60-64"	"2019"	"2019"	616177
	"Georgia"	"13"	"60-64 years "	"60-64"	"2020"	"2020"	628527
	"Georgia"	"13"	"65-69 years"	"65-69"	"2016"	"2016"	496469
	"Georgia"	"13"	"65-69 years"	"65-69"	"2017"	"2017"	494781
	"Georgia"	"13"	"65-69 years"	"65-69"	"2018"	"2018"	500781
	"Georgia"	"13"	"65-69 years"	"65-69"	"2019"	"2019"	511765
